//*********DIURNE*********//
//Starter
D, null, 2;0, 2;2, 3;2
D, null, 1;0, 1;2, 1;3
D, null, 1;1, 3;1, null
D, null, 2;1, 3;1, null
D, null, 1;1, 2;3, null
D, null, 0;1, 0;2, 3;2
//Junior
D, null, 0;2, 1;0, 1;3
D, null, 0;1, 2;0, 2;2
D, null, 0;1, 0;2, 2;2
D, null, 0;1, 2;0, 3;2
D, null, 1;0, 1;1, 1;3
D, null, 0;1, 2;2, 3;2
//Expert
D, null, 1;0, 2;0, 2;3
D, null, 0;2, 1;2, 1;3
D, null, 0;2, 1;2, 2;0
D, null, 1;0, 1;2, 2;0
D, null, 2;1, 2;3, null
D, null, 1;3, 3;1, null
//Master
D, null, 0;1, 1;0, 2;0
D, null, 0;1, 2;0, 3;1
D, null, 0;1, 1;0, 1;1
D, null, 2;0, 3;1, 3;2
D, null, 0;2, 2;3, null
D, null, 1;0, 1;3, 2;0
//*********NOCTURNE*********//
//Starter
N, 1;2, 1;0, null, null
N, 3;2, 2;0, null, null
N, 0;2, 3;1, null, null
N, 2;2, 2;0, null, null
N, 2;3, 1;0, null, null
N, 2;2, 2;1, null, null
//Junior
N, 3;1, 1;1, 2;1, null
N, 1;1, 2;0, 3;3, null
N, 2;2, 0;2, 2;3, 3;1
N, 1;3, 1;2, 1;0, null
N, 0;1, 2;1, 2;2, 3;2
N, 3;1, 3;3, null, null
//Expert
N, 2;0, 2;1, 3;3, null
N, 1;3, 0;1, 2;1, null
N, 1;1, 2;3, 3;2, null
N, 1;1, 1;2, 2;1, null
N, 2;0, 2;1, 1;3, null
N, 2;1, 1;1, 3;3, null
//Master
N, 0;2, 1;1, 1;3, 3;2
N, 3;1, 1;2, 2;2, null
N, 1;2, 1;1, 3;2, null
N, 1;0, 2;1, 1;2, 2;3
N, 2;2, 1;1, 3;3, null
N, 2;0, 2;1, 2;3, 1;2
