90, 0;1, 0, 1;3, 180, 1;0
0, 0;1, 90, 2;0, -90, 2;1
-90, 1;0, 0, 1;3, 180, 0;1
0, 1;0, 0, 1;3, 180, 0;1
-90, 1;0, 90, 3;1, 180, 0;1
0, 2;1, 0, 1;3, 90, 1;0
-90, 0;1, 90, 2;0, -90, 2;0
-90, 2;1, 0, 1;3, -90, 0;0
-90, 1;0, 90, 1;1, -90, 2;1 
0, 2;1, 0, 1;3, -90, 0;0
90, 0;1, 90, 2;0, -90, 2;1
90, 2;0, 0, 1;3, -90, 0;0
-90, 0;2, 90, 3;1, 0, 0;1
180, 0;0, 90, 2;0, -90, 2;1
180, 0;0, 90, 3;1, -90, 2;1
0, 0;1, 90, 3;1, -90, 1;1
0, 1;0, 90, 3;1, 180, 0;1
180, 2;2, 90, 2;0, -90, 0;0
180, 0;1, 90, 3;1, -90, 1;1
90, 2;1, 0, 1;3, -90, 0;0
-90, 0;2, 90, 2;0, -90, 2;1
90, 1;0, 0, 1;3, 180, 0;1
180, 0;0, 90, 3;1, -90, 1;0
180, 2;2, 0, 1;1, 180, 0;1
0, 1;0, 90, 3;1, -90, 1;1
-90, 1;0, 0, 1;3, 180, 0;1
-90, 2;1, 0, 1;3, 90, 1;0
-90, 1;0, 90, 1;1, -90, 2;1
0, 1;0, 90, 3;1, 180, 0;1
90, 2;0, 0, 1;3, -90, 0;0
180, 0;0, 90, 2;0, 180, 1;2
-90, 1;0, 0, 0;2, -90, 2;1
90, 0;1, 0, 1;3, 0, 1;1
0, 1;0, 0, 0;2, -90, 2;1
180, 1;0, 90, 3;1, 0, 0;2
180, 2;2, 90, 2;0, -90, 0;0 
180, 2;2, 0, 1;1, 180, 0;1
0, 0;1, 90, 2;0, -90, 2;1
90, 0;1, 90, 3;1, -90, 1;1
-90, 0;2, 90, 2;0, -90, 2;1
90, 1;2, 90, 3;1, 0, 0;1
180, 0;0, 0, 0;2, -90, 2;1
180, 2;1, 0, 0;1, 180, 1;2
90, 2;1, 0, 1;3, -90, 0;0
180, 0;0, 90, 3;1, -90, 1;1
90, 2;0, 0, 1;3, 180, 1;1
-90, 0;2, 0, 0;1, -90, 2;1
0, 2;1, 0, 1;3, -90, 0;0
